imfGDP,gdpPerCapita,pop,eu_or_not,class
2.22E+13,67063.2695,331002.651,not,advanced
1.55E+13,10746.7828,1439323.776,not,newly
5.50E+12,43450.1405,126476.461,not,advanced
4.16E+12,49617.145,83783.942,eu,advanced
3.26E+12,2360.6592,1380004.385,not,newly
2.93E+12,43117.5725,67886.011,eu,advanced
2.88E+12,44061.5183,65273.511,eu,advanced
2.09E+12,34574.7083,60461.826,eu,advanced
2.06E+12,9703.1693,212559.417,not,newly
1.83E+12,48552.8727,37742.154,not,advanced
1.74E+12,34023.5563,51269.185,not,newly
1.67E+12,11426.088,145934.462,not,newly
1.50E+12,32019.8291,46754.778,eu,newly
1.48E+12,58096.7349,25499.884,eu,advanced
1.30E+12,10065.3245,128932.753,not,newly
1.21E+12,4419.5818,273523.615,not,newly
9.55E+11,55730.2675,17134.872,eu,advanced
8.10E+11,9598.8138,84339.067,not,newly
7.90E+11,22693.8854,34813.871,not,developing
7.41E+11,85584.5582,8654.622,not,advanced
6.43E+11,16996.8719,37846.611,eu,advanced
6.34E+11,26607.0868,23816.775,not,newly
5.77E+11,57105.1458,10099.265,eu,advanced
5.54E+11,47782.4861,11589.623,eu,advanced
5.47E+11,7842.8535,69799.978,not,newly
5.15E+11,11402.6811,45195.774,not,newly
4.96E+11,2406.7284,206139.589,not,newly
4.96E+11,5901.6144,83992.949,not,developing
4.82E+11,53481.7582,9006.398,not,advanced
4.49E+11,45410.6921,9890.402,not,developing
4.39E+11,80908.2275,5421.241,not,advanced
4.05E+11,82058.0317,4937.786,eu,advanced
4.04E+11,46670.8297,8655.535,not,newly
4.02E+11,53626.1196,7496.981,not,newly
4.02E+11,12419.9781,32365.999,not,newly
3.92E+11,66983.2635,5850.342,not,newly
3.89E+11,3550.321,109581.078,not,newly
3.87E+11,6520.579,59308.69,not,newly
3.65E+11,62937.3768,5792.202,eu,advanced
3.53E+11,6933.7648,50882.891,not,developing
3.43E+11,2084.4027,164689.383,not,developing
3.31E+11,3238.0117,102334.404,not,developing
3.14E+11,16402.893,19116.201,not,newly
2.89E+11,52203.1433,5540.72,eu,advanced
2.82E+11,2900.9258,97338.579,not,newly
2.63E+11,13677.9929,19237.691,eu,newly
2.60E+11,24254.035,10708.981,eu,advanced
2.50E+11,24509.0843,10196.709,eu,newly
2.47E+11,6139.152,40222.493,not,developing
2.44E+11,7405.1947,32971.854,not,developing
