country,imfGDP,gdpPerCapita,pop,class,eu or not
United States,2.22E+13,67063.2695,331002.651,advanced,not
China,1.55E+13,10746.7828,1439323.776,newly,not
Japan,5.50E+12,43450.1405,126476.461,advanced,not
Germany,4.16E+12,49617.145,83783.942,advanced,eu
India,3.26E+12,2360.6592,1380004.385,newly,not
United Kingdom,2.93E+12,43117.5725,67886.011,advanced,eu
France,2.88E+12,44061.5183,65273.511,advanced,eu
Italy,2.09E+12,34574.7083,60461.826,advanced,eu
Brazil,2.06E+12,9703.1693,212559.417,newly,not
Canada,1.83E+12,48552.8727,37742.154,advanced,not
South Korea,1.74E+12,34023.5563,51269.185,newly,not
Russia,1.67E+12,11426.088,145934.462,newly,not
Spain,1.50E+12,32019.8291,46754.778,newly,eu
Australia,1.48E+12,58096.7349,25499.884,advanced,eu
Mexico,1.30E+12,10065.3245,128932.753,newly,not
Indonesia,1.21E+12,4419.5818,273523.615,newly,not
Netherlands,9.55E+11,55730.2675,17134.872,advanced,eu
Turkey,8.10E+11,9598.8138,84339.067,newly,not
Saudi Arabia,7.90E+11,22693.8854,34813.871,developing,not
Switzerland,7.41E+11,85584.5582,8654.622,advanced,not
Poland,6.43E+11,16996.8719,37846.611,advanced,eu
Taiwan,6.34E+11,26607.0868,23816.775,newly,not
Sweden,5.77E+11,57105.1458,10099.265,advanced,eu
Belgium,5.54E+11,47782.4861,11589.623,advanced,eu
Thailand,5.47E+11,7842.8535,69799.978,newly,not
Argentina,5.15E+11,11402.6811,45195.774,newly,not
Nigeria,4.96E+11,2406.7284,206139.589,newly,not
Iran,4.96E+11,5901.6144,83992.949,developing,not
Austria,4.82E+11,53481.7582,9006.398,advanced,not
United Arab Emirates,4.49E+11,45410.6921,9890.402,developing,not
Norway,4.39E+11,80908.2275,5421.241,advanced,not
Ireland,4.05E+11,82058.0317,4937.786,advanced,eu
Israel,4.04E+11,46670.8297,8655.535,newly,not
Hong Kong,4.02E+11,53626.1196,7496.981,newly,not
Malaysia,4.02E+11,12419.9781,32365.999,newly,not
Singapore,3.92E+11,66983.2635,5850.342,newly,not
Philippines,3.89E+11,3550.321,109581.078,newly,not
South Africa,3.87E+11,6520.579,59308.69,newly,not
Denmark,3.65E+11,62937.3768,5792.202,advanced,eu
Colombia,3.53E+11,6933.7648,50882.891,developing,not
Bangladesh,3.43E+11,2084.4027,164689.383,developing,not
Egypt,3.31E+11,3238.0117,102334.404,developing,not
Chile,3.14E+11,16402.893,19116.201,newly,not
Finland,2.89E+11,52203.1433,5540.72,advanced,eu
Vietnam,2.82E+11,2900.9258,97338.579,newly,not
Romania,2.63E+11,13677.9929,19237.691,newly,eu
Czech Republic,2.60E+11,24254.035,10708.981,advanced,eu
